tn(s),xi(m),T_AgTop_tn_2_xi(K),T_AgTop_tn_1_xi(K),T_AgTop_tn_xi(K),T_supra_tn_2_xi(K),T_supra_tn_1_xi(K),T_supra_tn_xi(K),T_hast_tn_2_xi(K),T_hast_tn_1_xi(K),T_hast_tn_xi(K),Q_Ag_tn_1_xi(W/m3),Q_Ag_tn_xi(W/m3),Q_supra_tn_1_xi(W/m3),Q_supra_tn_xi(W/m3),Q_hast_tn_1_xi(W/m3),Q_hast_tn_xi(W/m3)
0.0002,0.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,9.66627089e-23,9.81569813e-23,0.0,0.0
0.0002,0.0001,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,4.9251512100000005e-21,5.0012872700000004e-21,0.0,0.0
0.0002,0.0002,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,2.26690202e-19,2.3019452e-19,0.0,0.0
0.0002,0.0003,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,9.42618418e-18,9.571900019999999e-18,0.0,0.0
0.0002,0.0004,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,3.54137005e-16,3.59611475e-16,0.0,0.0
0.0002,0.0005,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,1.20222526e-14,1.22081001e-14,0.0,0.0
0.0002,0.0006,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,3.68833931e-13,3.74535596e-13,0.0,0.0
0.0002,0.0007,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,1.02273109e-11,1.03854111e-11,0.0,0.0
0.0002,0.0008,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,2.56351312e-10,2.6031415e-10,0.0,0.0
0.0002,0.0009,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,5.80914956e-09,5.89895101e-09,0.0,0.0
0.0002,0.001,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,1.19028716e-07,1.20868736e-07,0.0,0.0
0.0002,0.0011,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,2.20551556e-06,2.23960979e-06,0.0,0.0
0.0002,0.0012,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,3.69606912e-05,3.75320527e-05,0.0,0.0
0.0002,0.0013,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,0.000560256364,0.000568917156,0.0,0.0
0.0002,0.0014,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,0.00768219818,0.00780095439,0.0,0.0
0.0002,0.0015,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,0.0952925288,0.0967656202,0.0,0.0
0.0002,0.0016,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,1.06933664,1.08586712,0.0,0.0
0.0002,0.0017,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,10.8553258,11.0231342,0.0,0.0
0.0002,0.0018,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,99.6818653,101.22281,0.0,0.0
0.0002,0.0019,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,827.917719,840.716188,0.0,0.0
0.0002,0.002,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,6218.55677,6314.6871,0.0,0.0
0.0002,0.0021,77.0,77.0,77.000001,77.0,77.0,77.000001,77.0,77.0,77.0,0.0,0.0,42231.724,42884.5684,0.0,0.0
0.0002,0.0022,77.0,77.000002,77.000003,77.0,77.000002,77.000003,77.0,77.0,77.0,0.0,0.0,259258.791,263266.575,0.0,0.0
0.0002,0.0023,77.0,77.000008,77.000016,77.0,77.000008,77.000016,77.0,77.0,77.0,0.0,0.0,1438327.92,1460562.49,0.0,0.0
0.0002,0.0024,77.000001,77.000036,77.000069,77.000001,77.000035,77.000069,77.0,77.0,77.0,0.0,0.0,7209159.97,7320603.66,0.0,0.0
0.0002,0.0025,77.000005,77.000149,77.000274,77.000005,77.000147,77.000271,77.0,76.999999,76.999999,0.0,0.0,32634556.9,33139042.2,0.0,0.0
0.0002,0.0026,77.00002,77.000566,77.000989,77.00002,77.00056,77.00098,77.0,76.999998,76.999996,0.0,0.0,133381509.0,135443404.0,0.0,0.0
0.0002,0.0027,77.000073,77.001956,77.003276,77.000072,77.001937,77.003248,77.0,76.999993,76.999988,0.0,0.0,492033455.0,499639616.0,0.0,0.0
0.0002,0.0028,77.000242,77.006134,77.009912,77.000239,77.00608,77.009837,77.0,76.999977,76.999962,0.0,0.0,1637689870.0,1663006310.0,0.0,0.0
0.0002,0.0029,77.000723,77.017462,77.027364,77.000717,77.017321,77.027179,77.000001,76.999932,76.999895,0.0,0.0,4916623880.0,4992628120.0,0.0,0.0
0.0002,0.003,77.00195,77.045086,77.068829,77.001936,77.044757,77.068416,77.000004,76.999823,76.999735,0.0,0.0,13309647000.0,13515395800.0,0.0,0.0
0.0002,0.0031,77.004743,77.105519,77.157552,77.004714,77.104825,77.156712,77.000009,76.999582,76.999389,0.0,0.0,32479091000.0,32981173100.0,0.0,0.0
0.0002,0.0032,77.010403,77.223726,77.327838,77.010344,77.222395,77.326284,77.000019,76.999106,76.998724,0.0,0.0,71426883300.0,72531044600.0,0.0,0.0
0.0002,0.0033,77.020564,77.429514,77.619536,77.020459,77.427189,77.616917,77.000038,76.998272,76.99758,0.0,0.0,141524997000.0,143712779000.0,0.0,0.0
