tn(s),xi(m),T_AgTop_tn_2_xi(K),T_AgTop_tn_1_xi(K),T_AgTop_tn_xi(K),T_supra_tn_2_xi(K),T_supra_tn_1_xi(K),T_supra_tn_xi(K),T_hast_tn_2_xi(K),T_hast_tn_1_xi(K),T_hast_tn_xi(K),Q_Ag_tn_1_xi(W/m3),Q_Ag_tn_xi(W/m3),Q_supra_tn_1_xi(W/m3),Q_supra_tn_xi(W/m3),Q_hast_tn_1_xi(W/m3),Q_hast_tn_xi(W/m3)
0.0002,0.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,4.1939169500000004e-27,4.22270188e-27,0.0,0.0
0.0002,0.0001,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,1.9839514500000002e-25,1.99756829e-25,0.0,0.0
0.0002,0.0002,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,8.60713073e-24,8.666205729999999e-24,0.0,0.0
0.0002,0.0003,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,3.42453731e-22,3.44804161e-22,0.0,0.0
0.0002,0.0004,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,1.2495727700000001e-20,1.2581492000000001e-20,0.0,0.0
0.0002,0.0005,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,4.18155048e-19,4.21025054e-19,0.0,0.0
0.0002,0.0006,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,1.2833032099999998e-17,1.2921111599999998e-17,0.0,0.0
0.0002,0.0007,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,3.6119137e-16,3.6367040500000003e-16,0.0,0.0
0.0002,0.0008,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,9.32312682e-15,9.38711606e-15,0.0,0.0
0.0002,0.0009,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,2.20699812e-13,2.22214585e-13,0.0,0.0
0.0002,0.001,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,4.79135645e-12,4.8242419e-12,0.0,0.0
0.0002,0.0011,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,9.53962147e-11,9.60509663e-11,0.0,0.0
0.0002,0.0012,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,1.74188688e-09,1.75384232e-09,0.0,0.0
0.0002,0.0013,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,2.91692256e-08,2.93694285e-08,0.0,0.0
0.0002,0.0014,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,4.47966973e-07,4.51041592e-07,0.0,0.0
0.0002,0.0015,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,6.3093299e-06,6.35263396e-06,0.0,0.0
0.0002,0.0016,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,8.14960617e-05,8.20554096e-05,0.0,0.0
0.0002,0.0017,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,0.00096539746,0.000972023462,0.0,0.0
0.0002,0.0018,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,0.0104879794,0.0105599636,0.0,0.0
0.0002,0.0019,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,0.104494552,0.105211749,0.0,0.0
0.0002,0.002,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,0.954798242,0.961351496,0.0,0.0
0.0002,0.0021,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,8.00102671,8.05594172,0.0,0.0
0.0002,0.0022,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,61.4887938,61.9108219,0.0,0.0
0.0002,0.0023,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,433.373521,436.347978,0.0,0.0
0.0002,0.0024,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,2801.20515,2820.43121,0.0,0.0
0.0002,0.0025,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,16605.1806,16719.1502,0.0,0.0
0.0002,0.0026,77.0,77.0,77.000001,77.0,77.0,77.000001,77.0,77.0,77.0,0.0,0.0,90273.1168,90892.7059,0.0,0.0
0.0002,0.0027,77.0,77.000002,77.000004,77.0,77.000002,77.000004,77.0,77.0,77.0,0.0,0.0,450079.689,453168.809,0.0,0.0
0.0002,0.0028,77.0,77.00001,77.000018,77.0,77.00001,77.000018,77.0,77.0,77.0,0.0,0.0,2057958.14,2072082.93,0.0,0.0
0.0002,0.0029,77.000001,77.000038,77.000068,77.000001,77.000038,77.000067,77.0,77.0,77.0,0.0,0.0,8629781.59,8689012.06,0.0,0.0
0.0002,0.003,77.000005,77.000138,77.000237,77.000005,77.000136,77.000235,77.0,76.999999,76.999999,0.0,0.0,33187857.5,33415642.2,0.0,0.0
0.0002,0.0031,77.000017,77.000461,77.000764,77.000017,77.000456,77.000758,77.0,76.999998,76.999997,0.0,0.0,117050904.0,117854283.0,0.0,0.0
0.0002,0.0032,77.000056,77.001419,77.002284,77.000056,77.001406,77.002266,77.0,76.999995,76.999991,0.0,0.0,378605113.0,381203667.0,0.0,0.0
0.0002,0.0033,77.000167,77.004025,77.006309,77.000165,77.003993,77.006266,77.0,76.999984,76.999976,0.0,0.0,1123089380.0,1130797700.0,0.0,0.0
0.0002,0.0034,77.000452,77.010519,77.016112,77.000449,77.01044,77.016011,77.000001,76.999959,76.999938,0.0,0.0,3055331320.0,3076301570.0,0.0,0.0
0.0002,0.0035,77.001124,77.02531,77.038002,77.001117,77.025136,77.037787,77.000002,76.9999,76.999853,0.0,0.0,7622868840.0,7675188370.0,0.0,0.0
0.0002,0.0036,77.002566,77.056071,77.082744,77.002551,77.055716,77.082321,77.000005,76.999777,76.999679,0.0,0.0,17441937600.0,17561650200.0,0.0,0.0
0.0002,0.0037,77.005374,77.114339,77.166238,77.005344,77.113672,77.165467,77.00001,76.999541,76.999352,0.0,0.0,36600511400.0,36851718800.0,0.0,0.0
0.0002,0.0038,77.010322,77.214582,77.308036,77.01027,77.213425,77.306738,77.000019,76.999134,76.998795,0.0,0.0,70436168400.0,70919606800.0,0.0,0.0
0.0002,0.0039,77.018188,77.370578,77.526264,77.018101,77.368719,77.524236,77.000034,76.998498,76.997937,0.0,0.0,124314114000.0,125167343000.0,0.0,0.0
0.0002,0.004,77.029396,77.588847,77.828708,77.029265,77.586078,77.825766,77.000055,76.997605,76.996744,0.0,0.0,201215438000.0,202596479000.0,0.0,0.0
0.0002,0.0041,77.043583,77.860855,78.202448,77.0434,77.857024,78.198474,77.000082,76.99649,76.995266,0.0,0.0,298688362000.0,300738409000.0,0.0,0.0
0.0002,0.0042,77.059274,78.157825,78.607618,77.059037,78.152899,78.602612,77.000111,76.995269,76.993661,0.0,0.0,406622542000.0,409413394000.0,0.0,0.0
0.0002,0.0043,77.073949,78.432706,78.980676,77.073664,78.42681,78.974783,77.000138,76.994138,76.992181,0.0,0.0,507669116000.0,511153501000.0,0.0,0.0
0.0002,0.0044,77.084633,78.631409,79.248673,77.084314,78.624832,79.242191,77.000159,76.99332,76.991116,0.0,0.0,581281074000.0,585270694000.0,0.0,0.0
0.0002,0.0045,77.088856,78.709671,79.35385,77.088524,78.702829,79.347147,77.000166,76.992997,76.990697,0.0,0.0,610390501000.0,614579913000.0,0.0,0.0
0.0002,0.0046,77.085582,78.649005,79.272337,77.08526,78.642368,79.265805,77.00016,76.993247,76.991021,0.0,0.0,587821537000.0,591856048000.0,0.0,0.0
0.0002,0.0047,77.075617,78.463794,79.022713,77.075326,78.457791,79.016725,77.000142,76.99401,76.992014,0.0,0.0,519157780000.0,522721018000.0,0.0,0.0
0.0002,0.0048,77.06129,78.195748,78.659199,77.061047,78.190686,78.654068,77.000115,76.995113,76.993456,0.0,0.0,420503277000.0,423389399000.0,0.0,0.0
0.0002,0.0049,77.045572,77.898699,78.254219,77.045382,77.894725,78.250109,77.000085,76.996334,76.995061,0.0,0.0,312360095000.0,314503978000.0,0.0,0.0
0.0002,0.005,77.031083,77.621401,77.873604,77.030946,77.618502,77.870533,77.000058,76.997472,76.996566,0.0,0.0,212793253000.0,214253759000.0,0.0,0.0
