tn(s),xi(m),T_AgTop_tn_2_xi(K),T_AgTop_tn_1_xi(K),T_AgTop_tn_xi(K),T_supra_tn_2_xi(K),T_supra_tn_1_xi(K),T_supra_tn_xi(K),T_hast_tn_2_xi(K),T_hast_tn_1_xi(K),T_hast_tn_xi(K),Q_Ag_tn_1_xi(W/m3),Q_Ag_tn_xi(W/m3),Q_supra_tn_1_xi(W/m3),Q_supra_tn_xi(W/m3),Q_hast_tn_1_xi(W/m3),Q_hast_tn_xi(W/m3)
0.0002,0.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,16353.6699,16202.0253,0.0,0.0
0.0002,0.0001,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,58992.3396,58445.3143,0.0,0.0
0.0002,0.0002,77.0,77.000001,77.000001,77.0,77.000001,77.000001,77.0,77.0,77.0,0.0,0.0,202475.472,200597.953,0.0,0.0
0.0002,0.0003,77.0,77.000003,77.000004,77.0,77.000003,77.000004,77.0,77.0,77.0,0.0,0.0,661222.783,655091.383,0.0,0.0
0.0002,0.0004,77.0,77.000008,77.000013,77.0,77.000008,77.000012,77.0,77.0,77.0,0.0,0.0,2054595.04,2035543.15,0.0,0.0
0.0002,0.0005,77.000001,77.000022,77.000035,77.000001,77.000022,77.000035,77.0,77.0,77.0,0.0,0.0,6074582.56,6018254.05,0.0,0.0
0.0002,0.0006,77.000003,77.000061,77.000096,77.000003,77.000061,77.000095,77.0,77.0,77.0,0.0,0.0,17089722.1,16931252.2,0.0,0.0
0.0002,0.0007,77.000007,77.000161,77.000247,77.000007,77.000159,77.000245,77.0,76.999999,76.999999,0.0,0.0,45752228.8,45327976.6,0.0,0.0
0.0002,0.0008,77.000017,77.000401,77.000608,77.000017,77.000398,77.000604,77.0,76.999998,76.999998,0.0,0.0,116573984.0,115493015.0,0.0,0.0
0.0002,0.0009,77.000042,77.000952,77.001428,77.000042,77.000946,77.00142,77.0,76.999996,76.999994,0.0,0.0,282744204.0,280122368.0,0.0,0.0
0.0002,0.001,77.000098,77.002159,77.003203,77.000097,77.002145,77.003185,77.0,76.999991,76.999988,0.0,0.0,653033963.0,646978497.0,0.0,0.0
0.0002,0.0011,77.000215,77.004671,77.006863,77.000213,77.004641,77.006827,77.0,76.999981,76.999973,0.0,0.0,1437001240.0,1423676190.0,0.0,0.0
0.0002,0.0012,77.00045,77.009651,77.014056,77.000447,77.009591,77.013986,77.000001,76.999961,76.999945,0.0,0.0,3015075160.0,2987116910.0,0.0,0.0
0.0002,0.0013,77.0009,77.019062,77.027551,77.000895,77.018949,77.02742,77.000002,76.999923,76.999892,0.0,0.0,6038611970.0,5982617010.0,0.0,0.0
0.0002,0.0014,77.001722,77.036044,77.051745,77.001713,77.035839,77.051511,77.000003,76.999855,76.999798,0.0,0.0,11561258300.0,11454052800.0,0.0,0.0
0.0002,0.0015,77.003156,77.06536,77.093269,77.00314,77.065001,77.092865,77.000006,76.999736,76.999635,0.0,0.0,21196888000.0,21000333100.0,0.0,0.0
0.0002,0.0016,77.005548,77.113852,77.1616,77.005521,77.113246,77.160927,77.00001,76.999538,76.999367,0.0,0.0,37289554300.0,36943775100.0,0.0,0.0
0.0002,0.0017,77.009378,77.190812,77.269509,77.009332,77.189826,77.268429,77.000018,76.999225,76.998942,0.0,0.0,63060897900.0,62476145600.0,0.0,0.0
0.0002,0.0018,77.015258,77.308,77.433012,77.015186,77.306454,77.43134,77.000029,76.998747,76.998299,0.0,0.0,102657716000.0,101705790000.0,0.0,0.0
0.0002,0.0019,77.023908,77.478886,77.670186,77.023798,77.476548,77.667688,77.000045,76.998049,76.997364,0.0,0.0,160948524000.0,159456078000.0,0.0,0.0
0.0002,0.002,77.036051,77.716477,77.998024,77.03589,77.713072,77.994433,77.000067,76.997076,76.99607,0.0,0.0,242836395000.0,240584617000.0,0.0,0.0
0.0002,0.0021,77.052204,78.029215,78.426599,77.051977,78.024452,78.421653,77.000098,76.995795,76.994375,0.0,0.0,351851008000.0,348588357000.0,0.0,0.0
0.0002,0.0022,77.072356,78.414914,78.951401,77.072051,78.408542,78.944889,77.000135,76.994213,76.992295,0.0,0.0,487986854000.0,483461841000.0,0.0,0.0
0.0002,0.0023,77.095612,78.854912,79.543903,77.09522,78.846769,79.535777,77.000179,76.992405,76.98994,0.0,0.0,645240259000.0,639257063000.0,0.0,0.0
0.0002,0.0024,77.119944,79.309565,80.151453,77.119465,79.299697,80.141806,77.000225,76.990533,76.987519,0.0,0.0,809919355000.0,802409119000.0,0.0,0.0
