tn(s),xi(m),T_AgTop_tn_2_xi(K),T_AgTop_tn_1_xi(K),T_AgTop_tn_xi(K),T_supra_tn_2_xi(K),T_supra_tn_1_xi(K),T_supra_tn_xi(K),T_hast_tn_2_xi(K),T_hast_tn_1_xi(K),T_hast_tn_xi(K),Q_Ag_tn_1_xi(W/m3),Q_Ag_tn_xi(W/m3),Q_supra_tn_1_xi(W/m3),Q_supra_tn_xi(W/m3),Q_hast_tn_1_xi(W/m3),Q_hast_tn_xi(W/m3)
0.0002,0.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,1821555.06,1868719.86,0.0,0.0
0.0002,0.0001,77.000001,77.000021,77.000033,77.000001,77.00002,77.000033,77.0,77.0,77.0,0.0,0.0,5730829.72,5879215.81,0.0,0.0
0.0002,0.0002,77.000002,77.000062,77.0001,77.000002,77.000061,77.000099,77.0,77.0,77.0,0.0,0.0,17046172.1,17487541.9,0.0,0.0
0.0002,0.0003,77.000007,77.000169,77.000269,77.000007,77.000168,77.000267,77.0,76.999999,76.999999,0.0,0.0,47936950.1,49178162.4,0.0,0.0
0.0002,0.0004,77.000018,77.000438,77.000685,77.000018,77.000434,77.000681,77.0,76.999998,76.999997,0.0,0.0,127452422.0,130752497.0,0.0,0.0
0.0002,0.0005,77.000046,77.001074,77.001659,77.000046,77.001067,77.001649,77.0,76.999996,76.999994,0.0,0.0,320375983.0,328671351.0,0.0,0.0
0.0002,0.0006,77.00011,77.002497,77.003807,77.000109,77.00248,77.003786,77.0,76.99999,76.999985,0.0,0.0,761387907.0,781102220.0,0.0,0.0
0.0002,0.0007,77.000247,77.005498,77.008285,77.000245,77.005462,77.008241,77.0,76.999978,76.999968,0.0,0.0,1710748480.0,1755044200.0,0.0,0.0
0.0002,0.0008,77.000524,77.011461,77.01709,77.000521,77.01139,77.017005,77.000001,76.999954,76.999934,0.0,0.0,3634130450.0,3728227540.0,0.0,0.0
0.0002,0.0009,77.00105,77.022621,77.033417,77.001045,77.022489,77.03326,77.000002,76.99991,76.99987,0.0,0.0,7298759080.0,7487742940.0,0.0,0.0
0.0002,0.001,77.001993,77.042277,77.061925,77.001982,77.042042,77.061653,77.000004,76.999831,76.999759,0.0,0.0,13858994100.0,14217839500.0,0.0,0.0
0.0002,0.0011,77.003574,77.07481,77.108749,77.003556,77.074413,77.108298,77.000007,76.999699,76.999576,0.0,0.0,24879895600.0,25524100800.0,0.0,0.0
0.0002,0.0012,77.006062,77.125328,77.180963,77.006033,77.124693,77.180253,77.000011,76.999495,76.999293,0.0,0.0,42227907500.0,43321297900.0,0.0,0.0
0.0002,0.0013,77.00972,77.198777,77.285314,77.009675,77.197812,77.284253,77.000018,76.999197,76.998884,0.0,0.0,67761768900.0,69516297400.0,0.0,0.0
0.0002,0.0014,77.014736,77.29847,77.426184,77.014671,77.297075,77.424675,77.000028,76.998791,76.99833,0.0,0.0,102802594000.0,105464420000.0,0.0,0.0
0.0002,0.0015,77.021123,77.424274,77.603098,77.021033,77.422358,77.601054,77.00004,76.998279,76.997635,0.0,0.0,147454345000.0,151272321000.0,0.0,0.0
0.0002,0.0016,77.028629,77.570954,77.808506,77.028511,77.568449,77.805866,77.000054,76.997681,76.996826,0.0,0.0,199960972000.0,205138482000.0,0.0,0.0
0.0002,0.0017,77.036689,77.727387,78.026763,77.036541,77.724271,78.023514,77.000069,76.997042,76.995966,0.0,0.0,256369921000.0,263008005000.0,0.0,0.0
