tn(s),xi(m),T_AgTop_tn_2_xi(K),T_AgTop_tn_1_xi(K),T_AgTop_tn_xi(K),T_supra_tn_2_xi(K),T_supra_tn_1_xi(K),T_supra_tn_xi(K),T_hast_tn_2_xi(K),T_hast_tn_1_xi(K),T_hast_tn_xi(K),Q_Ag_tn_1_xi(W/m3),Q_Ag_tn_xi(W/m3),Q_supra_tn_1_xi(W/m3),Q_supra_tn_xi(W/m3),Q_hast_tn_1_xi(W/m3),Q_hast_tn_xi(W/m3)
0.0002,0.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,1.34012619e-11,1.38571161e-11,0.0,0.0
0.0002,0.0001,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,3.58495448e-10,3.70689945e-10,0.0,0.0
0.0002,0.0002,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,8.62190911e-09,8.91518994e-09,0.0,0.0
0.0002,0.0003,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,1.86425398e-07,1.927668e-07,0.0,0.0
0.0002,0.0004,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,3.62400311e-06,3.74727634e-06,0.0,0.0
0.0002,0.0005,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,6.33364749e-05,6.54909135e-05,0.0,0.0
0.0002,0.0006,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,0.000995178669,0.00102903043,0.0,0.0
0.0002,0.0007,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,0.0140582115,0.0145364123,0.0,0.0
0.0002,0.0008,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,0.17854222,0.184615471,0.0,0.0
0.0002,0.0009,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,2.03860758,2.10795237,0.0,0.0
0.0002,0.001,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,20.9270581,21.638908,0.0,0.0
0.0002,0.0011,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,193.136595,199.706284,0.0,0.0
0.0002,0.0012,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,1602.51759,1657.02845,0.0,0.0
0.0002,0.0013,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,11954.2651,12360.8986,0.0,0.0
0.0002,0.0014,77.0,77.000001,77.000001,77.0,77.000001,77.000001,77.0,77.0,77.0,0.0,0.0,80172.3856,82899.5106,0.0,0.0
0.0002,0.0015,77.0,77.000003,77.000006,77.0,77.000003,77.000006,77.0,77.0,77.0,0.0,0.0,483402.145,499845.439,0.0,0.0
0.0002,0.0016,77.0,77.000014,77.000028,77.0,77.000013,77.000028,77.0,77.0,77.0,0.0,0.0,2620439.78,2709576.04,0.0,0.0
0.0002,0.0017,77.000002,77.000061,77.000117,77.000002,77.00006,77.000116,77.0,77.0,77.0,0.0,0.0,12770903.9,13205316.0,0.0,0.0
0.0002,0.0018,77.000008,77.000246,77.000448,77.000008,77.000243,77.000443,77.0,76.999999,76.999998,0.0,0.0,55956550.8,57859955.7,0.0,0.0
0.0002,0.0019,77.000032,77.000902,77.001565,77.000032,77.000893,77.001551,77.0,76.999997,76.999994,0.0,0.0,220425624.0,227923570.0,0.0,0.0
0.0002,0.002,77.000113,77.002994,77.00499,77.000112,77.002966,77.00495,77.0,76.999989,76.999981,0.0,0.0,780647666.0,807201993.0,0.0,0.0
0.0002,0.0021,77.000359,77.008998,77.014495,77.000356,77.008921,77.014391,77.000001,76.999965,76.999945,0.0,0.0,2485592310.0,2570141630.0,0.0,0.0
0.0002,0.0022,77.001025,77.024469,77.038302,77.001017,77.024281,77.038058,77.000002,76.999905,76.999853,0.0,0.0,7115191130.0,7357219790.0,0.0,0.0
0.0002,0.0023,77.002629,77.06019,77.091957,77.002611,77.059774,77.091436,77.000005,76.999764,76.999645,0.0,0.0,18311549200.0,18934430600.0,0.0,0.0
0.0002,0.0024,77.006066,77.133872,77.200387,77.00603,77.133037,77.199381,77.000011,76.999469,76.999224,0.0,0.0,42368730500.0,43809935300.0,0.0,0.0
0.0002,0.0025,77.012587,77.269137,77.396029,77.012519,77.267618,77.394263,77.000024,76.998925,76.998459,0.0,0.0,88134847600.0,91132821800.0,0.0,0.0
0.0002,0.0026,77.023489,77.488942,77.709328,77.023375,77.486428,77.706503,77.000044,76.998036,76.997231,0.0,0.0,164828273000.0,170435033000.0,0.0,0.0
0.0002,0.0027,77.039422,77.802497,78.150664,77.039246,77.798698,78.146533,77.000074,76.996762,76.995496,0.0,0.0,277138973000.0,286566067000.0,0.0,0.0
0.0002,0.0028,77.059502,78.18975,78.689882,77.059256,78.184501,78.684343,77.000111,76.995183,76.99337,0.0,0.0,418933742000.0,433184094000.0,0.0,0.0
0.0002,0.0029,77.080771,78.593263,79.246255,77.080456,78.586607,79.239437,77.000151,76.993534,76.99117,0.0,0.0,569344230000.0,588710909000.0,0.0,0.0
0.0002,0.003,77.09861,78.9278,79.703123,77.098241,78.920038,79.695377,77.000185,76.992165,76.989359,0.0,0.0,695642890000.0,719305715000.0,0.0,0.0
0.0002,0.0031,77.10828,79.107775,79.94775,77.107883,79.099446,79.93954,77.000203,76.991428,76.988387,0.0,0.0,764151775000.0,790144982000.0,0.0,0.0
0.0002,0.0032,77.106941,79.082917,79.913989,77.106548,79.074664,79.905842,77.0002,76.99153,76.988521,0.0,0.0,754665980000.0,780336520000.0,0.0,0.0
0.0002,0.0033,77.094997,78.86029,79.611197,77.094639,78.852747,79.603631,77.000178,76.992441,76.989723,0.0,0.0,670057299000.0,692849810000.0,0.0,0.0
0.0002,0.0034,77.075899,78.501338,79.120065,77.0756,78.494994,79.113519,77.000142,76.993909,76.991669,0.0,0.0,534874812000.0,553068987000.0,0.0,0.0
0.0002,0.0035,77.054541,78.09475,78.558082,77.054312,78.089844,78.552871,77.000102,76.99557,76.99389,0.0,0.0,383868196000.0,396925766000.0,0.0,0.0
0.0002,0.0036,77.035254,77.721176,78.036765,77.035094,77.717698,78.032953,77.000066,76.997093,76.995944,0.0,0.0,247712001000.0,256138114000.0,0.0,0.0
0.0002,0.0037,77.020511,77.429634,77.62539,77.020409,77.427374,77.622829,77.000038,76.998277,76.997561,0.0,0.0,143830155000.0,148722647000.0,0.0,0.0
0.0002,0.0038,77.010793,77.23279,77.34423,77.010733,77.231438,77.34264,77.00002,76.999072,76.998662,0.0,0.0,75495944100.0,78063996400.0,0.0,0.0
0.0002,0.0039,77.005297,77.118585,77.178999,77.005264,77.117813,77.178053,77.00001,76.999532,76.999308,0.0,0.0,36938434700.0,38194923800.0,0.0,0.0
0.0002,0.004,77.002874,77.067009,77.103469,77.002854,77.066523,77.10285,77.000005,76.999738,76.999602,0.0,0.0,19974947500.0,20654410600.0,0.0,0.0
0.0002,0.0041,77.002723,77.06345,77.097973,77.002704,77.06299,77.097387,77.000005,76.999752,76.999623,0.0,0.0,18926673600.0,19570478900.0,0.0,0.0
0.0002,0.0042,77.004713,77.105237,77.158717,77.004684,77.104557,77.157884,77.000009,76.999584,76.999386,0.0,0.0,32869294600.0,33987368700.0,0.0,0.0
0.0002,0.0043,77.009366,77.201511,77.297693,77.009315,77.200351,77.296331,77.000017,76.999197,76.998843,0.0,0.0,65524888400.0,67753767500.0,0.0,0.0
0.0002,0.0044,77.017549,77.367065,77.53408,77.017462,77.365147,77.531909,77.000033,76.998527,76.997917,0.0,0.0,123065620000.0,127251792000.0,0.0,0.0
0.0002,0.0045,77.029874,77.610962,77.878507,77.029738,77.608027,77.87529,77.000056,76.997536,76.996564,0.0,0.0,209906312000.0,217046436000.0,0.0,0.0
0.0002,0.0046,77.045943,77.922848,78.314481,77.045749,77.918716,78.310085,77.000086,76.996265,76.994846,0.0,0.0,323329913000.0,334328228000.0,0.0,0.0
0.0002,0.0047,77.063778,78.263483,78.786734,77.063526,78.258139,78.781188,77.000119,76.994873,76.992982,0.0,0.0,449409360000.0,464696363000.0,0.0,0.0
0.0002,0.0048,77.079912,78.567848,79.205512,77.079609,78.561479,79.199048,77.00015,76.993628,76.991325,0.0,0.0,563588930000.0,582759839000.0,0.0,0.0
0.0002,0.0049,77.090372,78.763664,79.473114,77.090039,78.756659,79.466116,77.000169,76.992826,76.990264,0.0,0.0,637675046000.0,659366050000.0,0.0,0.0
0.0002,0.005,77.092247,78.798646,79.520789,77.091908,78.791529,79.513699,77.000173,76.992683,76.990075,0.0,0.0,650956452000.0,673099234000.0,0.0,0.0
0.0002,0.0051,77.084989,78.663023,79.335735,77.084671,78.656343,79.329008,77.000159,76.993239,76.990809,0.0,0.0,599542316000.0,619936206000.0,0.0,0.0
0.0002,0.0052,77.070674,78.393957,78.966702,77.0704,78.388169,78.960748,77.000132,76.99434,76.992271,0.0,0.0,498199302000.0,515145932000.0,0.0,0.0
0.0002,0.0053,77.053044,78.059072,78.503728,77.052827,78.054445,78.498858,77.000099,76.995709,76.994099,0.0,0.0,373509588000.0,386214802000.0,0.0,0.0
0.0002,0.0054,77.035932,77.729176,78.044215,77.035774,77.725777,78.040535,77.000067,76.997055,76.995911,0.0,0.0,252647939000.0,261241951000.0,0.0,0.0
0.0002,0.0055,77.021968,77.454995,77.658537,77.021863,77.452702,77.655978,77.000041,76.99817,76.997428,0.0,0.0,154186066000.0,159430823000.0,0.0,0.0
0.0002,0.0056,77.012121,77.257333,77.377317,77.012058,77.255917,77.375684,77.000023,76.998971,76.998531,0.0,0.0,84896515200.0,87784335100.0,0.0,0.0
0.0002,0.0057,77.006036,77.131941,77.196514,77.006002,77.131142,77.195561,77.000011,76.999476,76.999238,0.0,0.0,42174502100.0,43609100000.0,0.0,0.0
0.0002,0.0058,77.002713,77.061342,77.093089,77.002696,77.060932,77.092582,77.000005,76.999758,76.99964,0.0,0.0,18902769100.0,19545761200.0,0.0,0.0
0.0002,0.0059,77.001101,77.025868,77.040135,77.001093,77.025677,77.03989,77.000002,76.999899,76.999846,0.0,0.0,7643922220.0,7903936080.0,0.0,0.0
