tn(s),xi(m),T_AgTop_tn_2_xi(K),T_AgTop_tn_1_xi(K),T_AgTop_tn_xi(K),T_supra_tn_2_xi(K),T_supra_tn_1_xi(K),T_supra_tn_xi(K),T_hast_tn_2_xi(K),T_hast_tn_1_xi(K),T_hast_tn_xi(K),Q_Ag_tn_1_xi(W/m3),Q_Ag_tn_xi(W/m3),Q_supra_tn_1_xi(W/m3),Q_supra_tn_xi(W/m3),Q_hast_tn_1_xi(W/m3),Q_hast_tn_xi(W/m3)
0.0002,0.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,6.391834720000001e-31,6.34518467e-31,0.0,0.0
0.0002,0.0001,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,3.2640365200000004e-29,3.24021433e-29,0.0,0.0
0.0002,0.0002,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,1.5363702400000001e-27,1.5251572200000001e-27,0.0,0.0
0.0002,0.0003,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,6.66573685e-26,6.617087760000001e-26,0.0,0.0
0.0002,0.0004,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,2.66570353e-24,2.64624821e-24,0.0,0.0
0.0002,0.0005,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,9.82623019e-23,9.754514610000001e-23,0.0,0.0
0.0002,0.0006,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,3.3386694500000005e-21,3.31430257e-21,0.0,0.0
0.0002,0.0007,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,1.04561382e-19,1.03798254e-19,0.0,0.0
0.0002,0.0008,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,3.01842656e-18,2.99639693e-18,0.0,0.0
0.0002,0.0009,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,8.031585979999999e-17,7.972968399999999e-17,0.0,0.0
0.0002,0.001,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,1.96985118e-15,1.95547445e-15,0.0,0.0
0.0002,0.0011,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,4.45324842e-14,4.42074692e-14,0.0,0.0
0.0002,0.0012,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,9.27965506e-13,9.2119286e-13,0.0,0.0
0.0002,0.0013,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,1.78237116e-11,1.76936274e-11,0.0,0.0
0.0002,0.0014,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,3.15555579e-10,3.13252534e-10,0.0,0.0
0.0002,0.0015,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,5.14949907e-09,5.11191606e-09,0.0,0.0
0.0002,0.0016,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,7.74578624e-08,7.68925453e-08,0.0,0.0
0.0002,0.0017,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,1.07393361e-06,1.06609563e-06,0.0,0.0
0.0002,0.0018,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,1.37246338e-05,1.36244662e-05,0.0,0.0
0.0002,0.0019,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,0.000161672256,0.00016049231,0.0,0.0
0.0002,0.002,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,0.0017554224,0.00174261066,0.0,0.0
0.0002,0.0021,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,0.0175686818,0.0174404589,0.0,0.0
0.0002,0.0022,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,0.162072048,0.160889185,0.0,0.0
0.0002,0.0023,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,1.37812455,1.36806647,0.0,0.0
0.0002,0.0024,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,10.8014042,10.7225715,0.0,0.0
0.0002,0.0025,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,78.033911,77.4643898,0.0,0.0
0.0002,0.0026,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,519.634446,515.841955,0.0,0.0
0.0002,0.0027,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,3189.50945,3166.23119,0.0,0.0
0.0002,0.0028,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,18045.1816,17913.481,0.0,0.0
0.0002,0.0029,77.0,77.000001,77.000001,77.0,77.0,77.000001,77.0,77.0,77.0,0.0,0.0,94104.4207,93417.6107,0.0,0.0
0.0002,0.003,77.0,77.000002,77.000004,77.0,77.000002,77.000004,77.0,77.0,77.0,0.0,0.0,452345.42,449044.03,0.0,0.0
0.0002,0.0031,77.0,77.000009,77.000017,77.0,77.000009,77.000017,77.0,77.0,77.0,0.0,0.0,2004203.3,1989575.85,0.0,0.0
0.0002,0.0032,77.000001,77.000036,77.000063,77.000001,77.000035,77.000062,77.0,77.0,77.0,0.0,0.0,8185114.33,8125376.24,0.0,0.0
0.0002,0.0033,77.000005,77.000128,77.000216,77.000005,77.000126,77.000214,77.0,77.0,76.999999,0.0,0.0,30811946.2,30587068.9,0.0,0.0
0.0002,0.0034,77.000016,77.000421,77.000691,77.000016,77.000417,77.000685,77.0,76.999998,76.999997,0.0,0.0,106911622.0,106131340.0,0.0,0.0
0.0002,0.0035,77.000052,77.001286,77.00205,77.000051,77.001275,77.002035,77.0,76.999995,76.999992,0.0,0.0,341933857.0,339438293.0,0.0,0.0
0.0002,0.0036,77.000152,77.003636,77.005651,77.00015,77.003607,77.005612,77.0,76.999986,76.999978,0.0,0.0,1008023600.0,1000666650.0,0.0,0.0
0.0002,0.0037,77.000411,77.009511,77.014457,77.000408,77.009439,77.014366,77.000001,76.999963,76.999944,0.0,0.0,2739117710.0,2719126580.0,0.0,0.0
0.0002,0.0038,77.001027,77.023013,77.034311,77.00102,77.022853,77.034115,77.000002,76.999909,76.999867,0.0,0.0,6860600100.0,6810528830.0,0.0,0.0
0.0002,0.0039,77.002365,77.051505,77.075507,77.002351,77.051174,77.075114,77.000004,76.999794,76.999706,0.0,0.0,15838897400.0,15723299100.0,0.0,0.0
