tn(s),xi(m),T_AgTop_tn_2_xi(K),T_AgTop_tn_1_xi(K),T_AgTop_tn_xi(K),T_supra_tn_2_xi(K),T_supra_tn_1_xi(K),T_supra_tn_xi(K),T_hast_tn_2_xi(K),T_hast_tn_1_xi(K),T_hast_tn_xi(K),Q_Ag_tn_1_xi(W/m3),Q_Ag_tn_xi(W/m3),Q_supra_tn_1_xi(W/m3),Q_supra_tn_xi(W/m3),Q_hast_tn_1_xi(W/m3),Q_hast_tn_xi(W/m3)
0.0002,0.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,6.35227045,6.4977096,0.0,0.0
0.0002,0.0001,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,41.4178917,42.3661799,0.0,0.0
0.0002,0.0002,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,251.283705,257.037,0.0,0.0
0.0002,0.0003,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,1418.59359,1451.07317,0.0,0.0
0.0002,0.0004,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,7451.93386,7622.55048,0.0,0.0
0.0002,0.0005,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,36424.812,37258.7806,0.0,0.0
0.0002,0.0006,77.0,77.000001,77.000001,77.0,77.000001,77.000001,77.0,77.0,77.0,0.0,0.0,165669.658,169462.767,0.0,0.0
0.0002,0.0007,77.0,77.000003,77.000006,77.0,77.000003,77.000006,77.0,77.0,77.0,0.0,0.0,701141.968,717195.047,0.0,0.0
0.0002,0.0008,77.0,77.000012,77.000021,77.0,77.000012,77.000021,77.0,77.0,77.0,0.0,0.0,2761126.35,2824344.04,0.0,0.0
0.0002,0.0009,77.000001,77.000041,77.00007,77.000001,77.00004,77.00007,77.0,77.0,77.0,0.0,0.0,10117749.6,10349401.7,0.0,0.0
0.0002,0.001,77.000005,77.000133,77.000223,77.000005,77.000132,77.000221,77.0,76.999999,76.999999,0.0,0.0,34498396.1,35288258.2,0.0,0.0
0.0002,0.0011,77.000016,77.000406,77.000663,77.000016,77.000403,77.000658,77.0,76.999998,76.999997,0.0,0.0,109453892.0,111959907.0,0.0,0.0
0.0002,0.0012,77.000047,77.001156,77.001845,77.000047,77.001147,77.001832,77.0,76.999996,76.999993,0.0,0.0,323132654.0,330530975.0,0.0,0.0
0.0002,0.0013,77.000129,77.003071,77.004802,77.000128,77.003047,77.004771,77.0,76.999988,76.999982,0.0,0.0,887662378.0,907985956.0,0.0,0.0
0.0002,0.0014,77.000329,77.00761,77.011688,77.000327,77.007555,77.011618,77.000001,76.99997,76.999955,0.0,0.0,2268987530.0,2320937400.0,0.0,0.0
0.0002,0.0015,77.000782,77.017595,77.026601,77.000777,77.017477,77.026455,77.000001,76.999931,76.999897,0.0,0.0,5396767840.0,5520330170.0,0.0,0.0
0.0002,0.0016,77.001728,77.037955,77.056587,77.001717,77.037718,77.056299,77.000003,76.999849,76.999781,0.0,0.0,11944079700.0,12217546700.0,0.0,0.0
0.0002,0.0017,77.003552,77.076377,77.112477,77.003533,77.07593,77.11195,77.000007,76.999695,76.999563,0.0,0.0,24597387200.0,25160559500.0,0.0,0.0
0.0002,0.0018,77.006798,77.143356,77.208851,77.006763,77.14257,77.207948,77.000013,76.999425,76.999186,0.0,0.0,47134900300.0,48214082900.0,0.0,0.0
0.0002,0.0019,77.012106,77.250955,77.362193,77.012047,77.24966,77.36074,77.000023,76.998989,76.998585,0.0,0.0,84045320600.0,85969590100.0,0.0,0.0
0.0002,0.002,77.020064,77.409703,77.586523,77.019971,77.407703,77.58433,77.000038,76.998344,76.997704,0.0,0.0,139444636000.0,142637307000.0,0.0,0.0
0.0002,0.0021,77.030944,77.623745,77.886735,77.030809,77.620848,77.883622,77.000058,76.997473,76.996523,0.0,0.0,215281851000.0,220210862000.0,0.0,0.0
0.0002,0.0022,77.044414,77.885518,78.251332,77.044229,77.881575,78.247177,77.000083,76.996405,76.995085,0.0,0.0,309264701000.0,316345507000.0,0.0,0.0
0.0002,0.0023,77.059326,78.172268,78.648359,77.059087,78.167227,78.643134,77.000111,76.995233,76.993518,0.0,0.0,413400139000.0,422865190000.0,0.0,0.0
0.0002,0.0024,77.073749,78.447165,79.027086,77.07346,78.441105,79.020894,77.000138,76.994109,76.992021,0.0,0.0,514195430000.0,525968252000.0,0.0,0.0
0.0002,0.0025,77.085321,78.666321,79.327054,77.084994,78.659467,79.320149,77.00016,76.993213,76.990833,0.0,0.0,595118070000.0,608743666000.0,0.0,0.0
0.0002,0.0026,77.091866,78.789802,79.495386,77.091518,78.782508,79.488097,77.000172,76.992708,76.990165,0.0,0.0,640907556000.0,655581530000.0,0.0,0.0
0.0002,0.0027,77.092058,78.793413,79.500301,77.091709,78.786105,79.493,77.000172,76.992693,76.990146,0.0,0.0,642251276000.0,656956016000.0,0.0,0.0
0.0002,0.0028,77.085856,78.676431,79.340853,77.085527,78.669541,79.333917,77.000161,76.993171,76.990778,0.0,0.0,598869079000.0,612580556000.0,0.0,0.0
