tn(s),xi(m),T_AgTop_tn_2_xi(K),T_AgTop_tn_1_xi(K),T_AgTop_tn_xi(K),T_supra_tn_2_xi(K),T_supra_tn_1_xi(K),T_supra_tn_xi(K),T_hast_tn_2_xi(K),T_hast_tn_1_xi(K),T_hast_tn_xi(K),Q_Ag_tn_1_xi(W/m3),Q_Ag_tn_xi(W/m3),Q_supra_tn_1_xi(W/m3),Q_supra_tn_xi(W/m3),Q_hast_tn_1_xi(W/m3),Q_hast_tn_xi(W/m3)
0.0002,0.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,2.1727343299999997e-18,2.23463151e-18,0.0,0.0
0.0002,0.0001,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,5.25685726e-17,5.40661537e-17,0.0,0.0
0.0002,0.0002,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,1.1780143400000002e-15,1.2115737900000002e-15,0.0,0.0
0.0002,0.0003,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,2.44500531e-14,2.51465898e-14,0.0,0.0
0.0002,0.0004,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,4.7001733e-13,4.83407252e-13,0.0,0.0
0.0002,0.0005,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,8.36859925e-12,8.60700513e-12,0.0,0.0
0.0002,0.0006,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,1.38005536e-10,1.41937058e-10,0.0,0.0
0.0002,0.0007,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,2.1078761e-09,2.16792558e-09,0.0,0.0
0.0002,0.0008,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,2.98193717e-08,3.06688703e-08,0.0,0.0
0.0002,0.0009,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,3.90711984e-07,4.01842644e-07,0.0,0.0
0.0002,0.001,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,4.74154429e-06,4.8766221e-06,0.0,0.0
0.0002,0.0011,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,5.32951547e-05,5.48134349e-05,0.0,0.0
0.0002,0.0012,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,0.000554830694,0.000570636792,0.0,0.0
0.0002,0.0013,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,0.0053498064,0.00550221247,0.0,0.0
0.0002,0.0014,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,0.0477771775,0.0491382607,0.0,0.0
0.0002,0.0015,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,0.39519164,0.406449917,0.0,0.0
0.0002,0.0016,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,3.02760939,3.11386037,0.0,0.0
0.0002,0.0017,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,21.4830913,22.0951047,0.0,0.0
0.0002,0.0018,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,141.188245,145.210437,0.0,0.0
0.0002,0.0019,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,859.41938,883.902645,0.0,0.0
0.0002,0.002,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,4845.25436,4983.28668,0.0,0.0
0.0002,0.0021,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,25300.7185,26021.4891,0.0,0.0
0.0002,0.0022,77.0,77.000001,77.000001,77.0,77.000001,77.000001,77.0,77.0,77.0,0.0,0.0,122364.084,125850.01,0.0,0.0
0.0002,0.0023,77.0,77.000003,77.000005,77.0,77.000003,77.000005,77.0,77.0,77.0,0.0,0.0,548125.379,563740.455,0.0,0.0
0.0002,0.0024,77.0,77.00001,77.000018,77.0,77.00001,77.000018,77.0,77.0,77.0,0.0,0.0,2274105.94,2338891.0,0.0,0.0
0.0002,0.0025,77.000001,77.000036,77.000064,77.000001,77.000036,77.000063,77.0,77.0,77.0,0.0,0.0,8738689.54,8987638.6,0.0,0.0
0.0002,0.0026,77.000005,77.000123,77.000209,77.000005,77.000122,77.000207,77.0,77.0,76.999999,0.0,0.0,31101888.7,31987923.9,0.0,0.0
0.0002,0.0027,77.000015,77.000387,77.000641,77.000015,77.000384,77.000636,77.0,76.999999,76.999998,0.0,0.0,102525537.0,105446299.0,0.0,0.0
0.0002,0.0028,77.000045,77.001135,77.001831,77.000045,77.001126,77.001818,77.0,76.999996,76.999993,0.0,0.0,313027273.0,321944840.0,0.0,0.0
0.0002,0.0029,77.000128,77.003092,77.004879,77.000127,77.003068,77.004847,77.0,76.999988,76.999981,0.0,0.0,885191304.0,910408763.0,0.0,0.0
0.0002,0.003,77.000335,77.007827,77.012112,77.000333,77.00777,77.012038,77.000001,76.999969,76.999953,0.0,0.0,2318445740.0,2384493960.0,0.0,0.0
0.0002,0.0031,77.000812,77.018407,77.028,77.000806,77.018282,77.027843,77.000002,76.999928,76.999892,0.0,0.0,5624210520.0,5784433850.0,0.0,0.0
0.0002,0.0032,77.00182,77.040216,77.060261,77.001809,77.039962,77.059952,77.000003,76.999841,76.999767,0.0,0.0,12636623200.0,12996617200.0,0.0,0.0
0.0002,0.0033,77.00378,77.081616,77.120698,77.003759,77.081137,77.120131,77.000007,76.999675,76.999531,0.0,0.0,26296947600.0,27046098900.0,0.0,0.0
0.0002,0.0034,77.007274,77.153835,77.224914,77.007236,77.152992,77.223943,77.000014,76.999384,76.999124,0.0,0.0,50685587100.0,52129525500.0,0.0,0.0
0.0002,0.0035,77.012966,77.269274,77.389824,77.012903,77.267891,77.38827,77.000024,76.998917,76.998478,0.0,0.0,90483305400.0,93061007000.0,0.0,0.0
0.0002,0.0036,77.02141,77.437681,77.628288,77.021312,77.435561,77.625962,77.00004,76.998233,76.997542,0.0,0.0,149608845000.0,153870923000.0,0.0,0.0
0.0002,0.0037,77.03275,77.66056,77.941452,77.032608,77.657523,77.938189,77.000061,76.997326,76.99631,0.0,0.0,229113625000.0,235640647000.0,0.0,0.0
0.0002,0.0038,77.046407,77.925653,78.311271,77.046216,77.92158,78.306981,77.000087,76.996245,76.994852,0.0,0.0,324974587000.0,334232510000.0,0.0,0.0
0.0002,0.0039,77.060919,78.204343,78.697848,77.060677,78.199228,78.692548,77.000114,76.995107,76.993327,0.0,0.0,426926113000.0,439088447000.0,0.0,0.0
0.0002,0.004,77.074081,78.454982,79.043849,77.073795,78.44896,79.037694,77.000139,76.994083,76.99196,0.0,0.0,519470482000.0,534269233000.0,0.0,0.0
0.0002,0.0041,77.083457,78.632489,79.287436,77.08314,78.625839,79.280719,77.000156,76.993357,76.990995,0.0,0.0,585428507000.0,602106279000.0,0.0,0.0
0.0002,0.0042,77.087101,78.701273,79.38155,77.086772,78.694382,79.374624,77.000163,76.993076,76.990622,0.0,0.0,611071027000.0,628479308000.0,0.0,0.0
0.0002,0.0043,77.084215,78.646808,79.307039,77.083896,78.640108,79.300279,77.000158,76.993299,76.990917,0.0,0.0,590764453000.0,607594237000.0,0.0,0.0
0.0002,0.0044,77.075433,78.480631,79.07912,77.075143,78.474518,79.072882,77.000141,76.993978,76.99182,0.0,0.0,528983170000.0,544052920000.0,0.0,0.0
0.0002,0.0045,77.062595,78.23636,78.742145,77.062347,78.231128,78.736732,77.000117,76.994976,76.993152,0.0,0.0,438706624000.0,451204562000.0,0.0,0.0
0.0002,0.0046,77.048118,77.958653,78.357145,77.04792,77.954454,78.352732,77.00009,76.99611,76.994671,0.0,0.0,336985628000.0,346585724000.0,0.0,0.0
0.0002,0.0047,77.034266,77.690153,77.982868,77.034119,77.686998,77.979486,77.000064,76.997205,76.996147,0.0,0.0,239747179000.0,246577132000.0,0.0,0.0
0.0002,0.0048,77.022605,77.461334,77.661637,77.022503,77.459115,77.659208,77.000042,76.998137,76.997411,0.0,0.0,157979667000.0,162480215000.0,0.0,0.0
0.0002,0.0049,77.013815,77.286344,77.414093,77.013748,77.284883,77.412457,77.000026,76.998847,76.998383,0.0,0.0,96418146100.0,99164920300.0,0.0,0.0
0.0002,0.005,77.007822,77.165056,77.241026,77.007782,77.164158,77.239995,77.000015,76.999338,76.999061,0.0,0.0,54507536900.0,56060355500.0,0.0,0.0
0.0002,0.0051,77.004105,77.08842,77.130593,77.004082,77.087905,77.129985,77.000008,76.999647,76.999492,0.0,0.0,28556574600.0,29370098500.0,0.0,0.0
0.0002,0.0052,77.002004,77.044198,77.066168,77.001992,77.043921,77.065831,77.000004,76.999825,76.999744,0.0,0.0,13911695000.0,14308013400.0,0.0,0.0
0.0002,0.0053,77.000931,77.021141,77.03219,77.000925,77.020997,77.032009,77.000002,76.999917,76.999876,0.0,0.0,6449387330.0,6633118410.0,0.0,0.0
0.0002,0.0054,77.000473,77.011113,77.017268,77.00047,77.01103,77.017161,77.000001,76.999957,76.999934,0.0,0.0,3267271330.0,3360349830.0,0.0,0.0
0.0002,0.0055,77.00041,77.009733,77.015215,77.000407,77.009659,77.015117,77.000001,76.999962,76.999942,0.0,0.0,2830445910.0,2911080060.0,0.0,0.0
0.0002,0.0056,77.000712,77.016392,77.025172,77.000707,77.016276,77.025025,77.000001,76.999936,76.999903,0.0,0.0,4923457230.0,5063717400.0,0.0,0.0
0.0002,0.0057,77.001535,77.034275,77.051666,77.001526,77.034052,77.051391,77.000003,76.999865,76.9998,0.0,0.0,10650472400.0,10953884600.0,0.0,0.0
0.0002,0.0058,77.00324,77.070508,77.104728,77.003222,77.070083,77.104221,77.000006,76.999719,76.999594,0.0,0.0,22525033800.0,23166730200.0,0.0,0.0
0.0002,0.0059,77.006386,77.135943,77.199463,77.006352,77.13518,77.198577,77.000012,76.999456,76.999224,0.0,0.0,44472051700.0,45738978000.0,0.0,0.0
0.0002,0.006,77.01167,77.243712,77.353867,77.011612,77.242434,77.35242,77.000022,76.999021,76.998619,0.0,0.0,81398133200.0,83717015100.0,0.0,0.0
0.0002,0.0061,77.019754,77.405724,77.583849,77.019662,77.403723,77.581637,77.000037,76.998364,76.997717,0.0,0.0,137978468000.0,141909219000.0,0.0,0.0
0.0002,0.0062,77.030968,77.627046,77.895471,77.030832,77.624117,77.892303,77.000058,76.997464,76.996492,0.0,0.0,216578435000.0,222748353000.0,0.0,0.0
0.0002,0.0063,77.044965,77.899603,78.27634,77.044776,77.895591,78.272091,77.000084,76.996353,76.994992,0.0,0.0,314787256000.0,323754962000.0,0.0,0.0
0.0002,0.0064,77.060465,78.198013,78.690725,77.060222,78.192871,78.685374,77.000113,76.995135,76.993357,0.0,0.0,423658404000.0,435727647000.0,0.0,0.0
0.0002,0.0065,77.075304,78.481023,79.081534,77.075011,78.474847,79.075208,77.000141,76.993979,76.991812,0.0,0.0,527972225000.0,543013175000.0,0.0,0.0
0.0002,0.0066,77.086861,78.699966,79.381845,77.08653,78.693009,79.374824,77.000163,76.993085,76.990623,0.0,0.0,609260283000.0,626616979000.0,0.0,0.0
0.0002,0.0067,77.092795,78.811967,79.534879,77.092445,78.804616,79.527517,77.000174,76.992627,76.990017,0.0,0.0,651015301000.0,669561520000.0,0.0,0.0
0.0002,0.0068,77.091818,78.793536,79.509722,77.091471,78.786249,79.502415,77.000172,76.992702,76.990116,0.0,0.0,644133758000.0,662483935000.0,0.0,0.0
0.0002,0.0069,77.084144,78.648602,79.311533,77.083822,78.641826,79.304671,77.000158,76.993295,76.990902,0.0,0.0,590143273000.0,606955361000.0,0.0,0.0
0.0002,0.007,77.071419,78.407147,78.979797,77.071139,78.401238,78.973717,77.000134,76.994281,76.992215,0.0,0.0,500651358000.0,514913987000.0,0.0,0.0
0.0002,0.0071,77.056142,78.115105,78.575811,77.055914,78.110272,78.570759,77.000105,76.995474,76.99381,0.0,0.0,393287254000.0,404491278000.0,0.0,0.0
0.0002,0.0072,77.040873,77.820261,78.165752,77.040699,77.816559,78.161809,77.000076,76.996677,76.995427,0.0,0.0,286075642000.0,294225406000.0,0.0,0.0
