tn(s),xi(m),T_AgTop_tn_2_xi(K),T_AgTop_tn_1_xi(K),T_AgTop_tn_xi(K),T_supra_tn_2_xi(K),T_supra_tn_1_xi(K),T_supra_tn_xi(K),T_hast_tn_2_xi(K),T_hast_tn_1_xi(K),T_hast_tn_xi(K),Q_Ag_tn_1_xi(W/m3),Q_Ag_tn_xi(W/m3),Q_supra_tn_1_xi(W/m3),Q_supra_tn_xi(W/m3),Q_hast_tn_1_xi(W/m3),Q_hast_tn_xi(W/m3)
0.0002,0.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,1.06918417,1.05799143,0.0,0.0
0.0002,0.0001,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,10.2865101,10.1788259,0.0,0.0
0.0002,0.0002,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,89.7371301,88.7977181,0.0,0.0
0.0002,0.0003,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,709.847211,702.416184,0.0,0.0
0.0002,0.0004,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,5091.50492,5038.20457,0.0,0.0
0.0002,0.0005,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,33114.3352,32767.6781,0.0,0.0
0.0002,0.0006,77.0,77.000001,77.000002,77.0,77.000001,77.000002,77.0,77.0,77.0,0.0,0.0,195287.523,193243.158,0.0,0.0
0.0002,0.0007,77.0,77.000006,77.000011,77.0,77.000005,77.000011,77.0,77.0,77.0,0.0,0.0,1044291.0,1033358.86,0.0,0.0
0.0002,0.0008,77.000001,77.000025,77.000047,77.000001,77.000024,77.000046,77.0,77.0,77.0,0.0,0.0,5063574.0,5010566.04,0.0,0.0
0.0002,0.0009,77.000003,77.000101,77.00018,77.000003,77.0001,77.000178,77.0,77.0,76.999999,0.0,0.0,22262881.3,22029822.6,0.0,0.0
