tn(s),xi(m),T_AgTop_tn_2_xi(K),T_AgTop_tn_1_xi(K),T_AgTop_tn_xi(K),T_supra_tn_2_xi(K),T_supra_tn_1_xi(K),T_supra_tn_xi(K),T_hast_tn_2_xi(K),T_hast_tn_1_xi(K),T_hast_tn_xi(K),Q_Ag_tn_1_xi(W/m3),Q_Ag_tn_xi(W/m3),Q_supra_tn_1_xi(W/m3),Q_supra_tn_xi(W/m3),Q_hast_tn_1_xi(W/m3),Q_hast_tn_xi(W/m3)
0.0002,0.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,579.249404,574.221161,0.0,0.0
0.0002,0.0001,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,3442.92155,3413.03486,0.0,0.0
0.0002,0.0002,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,18899.1769,18735.1203,0.0,0.0
0.0002,0.0003,77.0,77.0,77.000001,77.0,77.0,77.000001,77.0,77.0,77.0,0.0,0.0,95810.4506,94978.7567,0.0,0.0
0.0002,0.0004,77.0,77.000002,77.000004,77.0,77.000002,77.000004,77.0,77.0,77.0,0.0,0.0,448577.108,444683.182,0.0,0.0
0.0002,0.0005,77.0,77.000009,77.000016,77.0,77.000009,77.000016,77.0,77.0,77.0,0.0,0.0,1939615.13,1922778.07,0.0,0.0
0.0002,0.0006,77.000001,77.000033,77.000058,77.000001,77.000033,77.000057,77.0,77.0,77.0,0.0,0.0,7745478.43,7678242.89,0.0,0.0
0.0002,0.0007,77.000004,77.000117,77.000196,77.000004,77.000115,77.000194,77.0,77.0,76.999999,0.0,0.0,28565061.7,28317099.3,0.0,0.0
0.0002,0.0008,77.000015,77.000379,77.000617,77.000015,77.000375,77.000612,77.0,76.999999,76.999998,0.0,0.0,97291817.0,96447263.9,0.0,0.0
0.0002,0.0009,77.000046,77.00114,77.001808,77.000046,77.00113,77.001794,77.0,76.999996,76.999993,0.0,0.0,306035420.0,303378843.0,0.0,0.0
