tn(s),xi(m),T_AgTop_tn_2_xi(K),T_AgTop_tn_1_xi(K),T_AgTop_tn_xi(K),T_supra_tn_2_xi(K),T_supra_tn_1_xi(K),T_supra_tn_xi(K),T_hast_tn_2_xi(K),T_hast_tn_1_xi(K),T_hast_tn_xi(K),Q_Ag_tn_1_xi(W/m3),Q_Ag_tn_xi(W/m3),Q_supra_tn_1_xi(W/m3),Q_supra_tn_xi(W/m3),Q_hast_tn_1_xi(W/m3),Q_hast_tn_xi(W/m3)
0.0002,0.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,7711.46168,7960.62764,0.0,0.0
0.0002,0.0001,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,0.0,0.0,30074.7505,31046.4994,0.0,0.0
0.0002,0.0002,77.0,77.0,77.000001,77.0,77.0,77.000001,77.0,77.0,77.0,0.0,0.0,111275.7,114871.142,0.0,0.0
0.0002,0.0003,77.0,77.000002,77.000003,77.0,77.000002,77.000003,77.0,77.0,77.0,0.0,0.0,390599.452,403220.158,0.0,0.0
0.0002,0.0004,77.0,77.000005,77.000008,77.0,77.000005,77.000008,77.0,77.0,77.0,0.0,0.0,1300756.39,1342785.29,0.0,0.0
0.0002,0.0005,77.000001,77.000015,77.000026,77.000001,77.000015,77.000025,77.0,77.0,77.0,0.0,0.0,4109542.15,4242326.07,0.0,0.0
0.0002,0.0006,77.000002,77.000045,77.000073,77.000002,77.000044,77.000073,77.0,77.0,77.0,0.0,0.0,12317546.2,12715540.0,0.0,0.0
0.0002,0.0007,77.000005,77.000124,77.000199,77.000005,77.000123,77.000198,77.0,77.0,76.999999,0.0,0.0,35025839.0,36157563.1,0.0,0.0
0.0002,0.0008,77.000014,77.000327,77.000517,77.000014,77.000324,77.000513,77.0,76.999999,76.999998,0.0,0.0,94490251.0,97543336.9,0.0,0.0
0.0002,0.0009,77.000035,77.000817,77.001275,77.000035,77.000811,77.001267,77.0,76.999997,76.999995,0.0,0.0,241835749.0,249649733.0,0.0,0.0
0.0002,0.001,77.000084,77.001942,77.002992,77.000084,77.001928,77.002974,77.0,76.999992,76.999988,0.0,0.0,587206257.0,606179549.0,0.0,0.0
0.0002,0.0011,77.000194,77.004385,77.006679,77.000193,77.004355,77.006642,77.0,76.999983,76.999974,0.0,0.0,1352696510.0,1396403650.0,0.0,0.0
0.0002,0.0012,77.000424,77.009407,77.01418,77.000421,77.009347,77.014107,77.000001,76.999963,76.999945,0.0,0.0,2956340560.0,3051863240.0,0.0,0.0
0.0002,0.0013,77.000878,77.019173,77.028631,77.000873,77.019057,77.028491,77.000002,76.999924,76.999889,0.0,0.0,6130010510.0,6328078020.0,0.0,0.0
0.0002,0.0014,77.001725,77.037126,77.054969,77.001715,77.036912,77.054715,77.000003,76.999852,76.999786,0.0,0.0,12059644500.0,12449305100.0,0.0,0.0
0.0002,0.0015,77.003217,77.068302,77.10035,77.0032,77.067926,77.099912,77.000006,76.999727,76.999609,0.0,0.0,22511129500.0,23238489300.0,0.0,0.0
0.0002,0.0016,77.005693,77.119391,77.174197,77.005665,77.118761,77.173477,77.000011,76.999521,76.999321,0.0,0.0,39873755700.0,41162121500.0,0.0,0.0
0.0002,0.0017,77.009562,77.198305,77.287546,77.009517,77.197301,77.286417,77.000018,76.999202,76.998877,0.0,0.0,67029321900.0,69195114400.0,0.0,0.0
0.0002,0.0018,77.015248,77.313049,77.451431,77.015178,77.311524,77.449742,77.000029,76.998738,76.998235,0.0,0.0,106961438000.0,110417482000.0,0.0,0.0
0.0002,0.0019,77.02309,77.469847,77.674243,77.022988,77.467634,77.671826,77.000043,76.998102,76.997362,0.0,0.0,162079023000.0,167315978000.0,0.0,0.0
0.0002,0.002,77.033223,77.670804,77.9585,77.03308,77.667734,77.955188,77.000062,76.997287,76.996245,0.0,0.0,233345646000.0,240885305000.0,0.0,0.0
0.0002,0.0021,77.045459,77.911794,78.297832,77.045269,77.907719,78.293489,77.000085,76.996308,76.994911,0.0,0.0,319451834000.0,329773681000.0,0.0,0.0
0.0002,0.0022,77.059224,78.181357,78.676037,77.058982,78.176177,78.67057,77.000111,76.995213,76.993422,0.0,0.0,416370401000.0,429823795000.0,0.0,0.0
0.0002,0.0023,77.073598,78.46162,79.067926,77.073302,78.455297,79.061316,77.000138,76.994075,76.991879,0.0,0.0,517609173000.0,534333705000.0,0.0,0.0
0.0002,0.0024,77.087461,78.731388,79.443155,77.087113,78.723959,79.435485,77.000164,76.992981,76.990398,0.0,0.0,615271415000.0,635151524000.0,0.0,0.0
0.0002,0.0025,77.09973,78.970251,79.77443,77.099334,78.961828,79.765817,77.000187,76.992013,76.98909,0.0,0.0,701693273000.0,724365769000.0,0.0,0.0
0.0002,0.0026,77.109585,79.162539,80.041332,77.109151,79.153312,80.031941,77.000205,76.991234,76.988036,0.0,0.0,771098506000.0,796013563000.0,0.0,0.0
0.0002,0.0027,77.116616,79.3004,80.233365,77.116154,79.290579,80.223399,77.000218,76.990676,76.987279,0.0,0.0,820592883000.0,847107159000.0,0.0,0.0
0.0002,0.0028,77.120803,79.383176,80.349111,77.120324,79.372981,80.338777,77.000226,76.990341,76.986822,0.0,0.0,850044846000.0,877510747000.0,0.0,0.0
0.0002,0.0029,77.122351,79.414221,80.392788,77.121864,79.403877,80.382302,77.000229,76.990216,76.986651,0.0,0.0,860914916000.0,888732042000.0,0.0,0.0
