1	2E-11
4	2E-11
7	2E-11
10	2.02E-11
15	2.18E-11
20	2.8E-11
25	4.49E-11
30	8.28E-11
35	1.47E-10
40	2.39E-10
45	3.58E-10
50	5.18E-10
55	7.27E-10
60	9.71E-10
70	1.54E-09
80	2.15E-09
90	2.81E-09
100	3.48E-09
125	5.22E-09
150	6.99E-09
175	8.74E-09
200	1.046E-08
225	1.217E-08
250	1.387E-08
273.15	1.543E-08
293	1.678E-08
300	1.725E-08
350	2.063E-08
400	2.402E-08
500	3.09E-08
600	3.792E-08
700	4.514E-08
800	5.262E-08
900	6.041E-08
1000	6.858E-08
